timestamp,equity,cash
2025-01-10 00:30:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 00:35:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 00:40:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 00:45:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 00:50:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 00:55:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 01:00:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 01:05:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 01:10:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 01:15:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 01:20:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 01:25:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 01:30:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 01:35:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 01:40:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 01:45:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 01:50:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 01:55:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 02:00:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 02:05:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 02:10:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 02:15:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 02:20:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 02:25:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 02:30:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 02:35:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 02:40:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 02:45:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 02:50:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 02:55:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 03:00:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 03:05:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 03:10:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 03:15:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 03:20:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 03:25:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 03:30:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 03:35:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 03:40:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 03:45:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 03:50:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 03:55:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 04:00:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 04:05:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 04:10:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 04:15:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 04:20:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 04:25:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 04:30:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 04:35:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 04:40:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 04:45:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 04:50:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 04:55:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 05:00:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 05:05:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 05:10:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 05:15:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 05:20:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 05:25:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 05:30:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 05:35:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 05:40:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 05:45:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 05:50:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 05:55:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 06:00:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 06:05:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 06:10:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 06:15:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 06:20:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 06:25:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 06:30:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 06:35:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 06:40:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 06:45:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 06:50:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 06:55:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 07:00:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 07:05:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 07:10:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 07:15:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 07:20:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 07:25:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 07:30:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 07:35:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 07:40:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 07:45:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 07:50:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 07:55:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 08:00:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 08:05:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 08:10:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 08:15:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 08:20:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 08:25:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 08:30:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 08:35:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 08:40:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 08:45:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 08:50:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 08:55:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 09:00:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 09:05:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 09:10:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 09:15:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 09:20:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 09:25:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 09:30:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 09:35:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 09:40:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 09:45:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 09:50:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 09:55:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 10:00:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 10:05:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 10:10:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 10:15:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 10:20:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 10:25:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 10:30:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 10:35:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 10:40:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 10:45:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 10:50:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 10:55:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 11:00:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 11:05:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 11:10:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 11:15:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 11:20:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 11:25:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 11:30:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 11:35:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 11:40:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 11:45:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 11:50:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 11:55:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 12:00:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 12:05:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 12:10:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 12:15:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 12:20:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 12:25:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 12:30:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 12:35:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 12:40:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 12:45:00-05:00,99196.0204263975,99196.0204263975
2025-01-10 12:50:00-05:00,99020.91216779678,99179.92072243824
2025-01-10 12:55:00-05:00,99134.23448127774,99179.92072243824
2025-01-10 13:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 13:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 13:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 13:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 13:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 13:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 13:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 13:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 13:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 13:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 13:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 13:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 14:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 14:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 14:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 14:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 14:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 14:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 14:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 14:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 14:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 14:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 14:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 14:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 15:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 15:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 15:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 15:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 15:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 15:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 15:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 15:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 15:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 15:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 15:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 15:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 16:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 16:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 16:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 16:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 16:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 16:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 16:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 16:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 16:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 16:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 16:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 16:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 17:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 17:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 17:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 17:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 17:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 17:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 17:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 17:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 17:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 17:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 17:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 17:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 18:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 18:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 18:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 18:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 18:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 18:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 18:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 18:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 18:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 18:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 18:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-10 18:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 19:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 19:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 19:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 19:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 19:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 19:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 19:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 19:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 19:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 19:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 19:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 19:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 20:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 20:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 20:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 20:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 20:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 20:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 20:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 20:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 20:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 20:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 20:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 20:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 21:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 21:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 21:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 21:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 21:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 21:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 21:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 21:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 21:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 21:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 21:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 21:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 22:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 22:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 22:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 22:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 22:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 22:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 22:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 22:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 22:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 22:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 22:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 22:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 23:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 23:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 23:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 23:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 23:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 23:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 23:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 23:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 23:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 23:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 23:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-12 23:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 00:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 00:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 00:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 00:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 00:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 00:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 00:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 00:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 00:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 00:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 00:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 00:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 01:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 01:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 01:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 01:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 01:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 01:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 01:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 01:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 01:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 01:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 01:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 01:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 02:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 02:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 02:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 02:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 02:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 02:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 02:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 02:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 02:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 02:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 02:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 02:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 03:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 03:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 03:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 03:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 03:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 03:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 03:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 03:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 03:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 03:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 03:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 03:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 04:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 04:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 04:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 04:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 04:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 04:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 04:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 04:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 04:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 04:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 04:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 04:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 05:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 05:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 05:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 05:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 05:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 05:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 05:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 05:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 05:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 05:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 05:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 05:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 06:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 06:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 06:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 06:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 06:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 06:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 06:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 06:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 06:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 06:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 06:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 06:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 07:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 07:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 07:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 07:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 07:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 07:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 07:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 07:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 07:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 07:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 07:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 07:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 08:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 08:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 08:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 08:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 08:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 08:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 08:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 08:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 08:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 08:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 08:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 08:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 09:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 09:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 09:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 09:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 09:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 09:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 09:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 09:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 09:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 09:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 09:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 09:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 10:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 10:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 10:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 10:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 10:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 10:25:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 10:30:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 10:35:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 10:40:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 10:45:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 10:50:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 10:55:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 11:00:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 11:05:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 11:10:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 11:15:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 11:20:00-05:00,98396.3870505777,98396.3870505777
2025-01-13 11:25:00-05:00,98438.27571698293,98382.13784022658
2025-01-13 11:30:00-05:00,98426.35444827854,98382.13784022658
2025-01-13 11:35:00-05:00,98252.63605450765,98382.13784022658
2025-01-13 11:40:00-05:00,97610.14834367885,97610.14834367885
